[Header]
Data File Name	E:\10.10.2022_2022-10-10 Wucherung 1h 50ml$min_01.qgd
Output Date	10.10.2022
Output Time	14:22:58

[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	100
# of Points	7032
Start Time(min)	2.000
End Time(min)	13.718
Ret.Time	Absolute Intensity	Relative Intensity
3.507	12350	0.32
3.508	11797	0.31
3.510	11018	0.29
3.512	10288	0.27
3.513	9556	0.25
3.515	9228	0.24
3.517	9533	0.25
3.518	10831	0.28
3.520	11858	0.31
3.522	11423	0.30
3.523	11929	0.31
3.525	13008	0.34
3.527	12772	0.34
3.528	12392	0.33
3.530	11506	0.30
3.532	11458	0.30
3.533	12548	0.33
3.535	11871	0.31
3.537	11458	0.30
3.538	12904	0.34
3.540	13697	0.36
3.542	13904	0.37
3.543	15531	0.41
3.545	17077	0.45
3.547	17647	0.46
3.548	18912	0.50
3.550	19231	0.51
3.552	19717	0.52
3.553	20820	0.55
3.555	19556	0.51
3.557	17849	0.47
3.558	17563	0.46
3.560	17153	0.45
3.562	16987	0.45
3.563	16645	0.44
3.565	15959	0.42
3.567	14858	0.39
3.568	13690	0.36
3.570	13496	0.35
3.572	14105	0.37
3.573	15767	0.41
3.575	15217	0.40
3.577	16525	0.43
3.578	17548	0.46
3.580	17050	0.45
3.582	16865	0.44
3.583	17361	0.46
3.585	17423	0.46
3.587	16868	0.44
3.588	15507	0.41
3.590	14969	0.39
3.592	14565	0.38
3.593	12989	0.34
3.595	12326	0.32
3.597	12399	0.33
3.598	11988	0.32
3.600	12382	0.33
3.602	13063	0.34
3.603	12433	0.33
3.605	12693	0.33
3.607	13646	0.36
3.608	14024	0.37
3.610	14020	0.37
3.612	13652	0.36
3.613	13867	0.36
3.615	13630	0.36
3.617	12292	0.32
3.618	11926	0.31
3.620	13797	0.36
3.622	15260	0.40
3.623	15004	0.39
3.625	15229	0.40
3.627	15626	0.41
3.628	15337	0.40
3.630	15144	0.40
3.632	15236	0.40
3.633	15644	0.41
3.635	17160	0.45
3.637	21871	0.58
3.638	31294	0.82
3.640	47910	1.26
3.642	73856	1.94
3.643	105849	2.78
