[Header]
Data File Name	E:\10.10.2022_2022-10-10 Wucherung 1h 50ml$min_01.qgd
Output Date	10.10.2022
Output Time	14:22:58

[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	100
# of Points	7032
Start Time(min)	2.000
End Time(min)	13.718
Ret.Time	Absolute Intensity	Relative Intensity
6.120	16481	0.43
6.122	15744	0.41
6.123	14169	0.37
6.125	13012	0.34
6.127	14841	0.39
6.128	17090	0.45
6.130	17130	0.45
6.132	15723	0.41
6.133	14289	0.38
6.135	14023	0.37
6.137	14434	0.38
6.138	14645	0.39
6.140	14425	0.38
6.142	14647	0.39
6.143	15394	0.40
6.145	16449	0.43
6.147	17678	0.46
6.148	17170	0.45
6.150	16210	0.43
6.152	16166	0.43
6.153	15250	0.40
6.155	13795	0.36
6.157	14184	0.37
6.158	16054	0.42
6.160	16974	0.45
6.162	16736	0.44
6.163	16628	0.44
6.165	17091	0.45
6.167	17097	0.45
6.168	16960	0.45
6.170	15681	0.41
6.172	15779	0.42
6.173	17623	0.46
6.175	18300	0.48
6.177	18351	0.48
6.178	17072	0.45
6.180	15342	0.40
6.182	15755	0.41
6.183	16964	0.45
6.185	17817	0.47
6.187	18362	0.48
6.188	18887	0.50
6.190	18891	0.50
6.192	20807	0.55
6.193	23792	0.63
6.195	27766	0.73
6.197	31999	0.84
6.198	37563	0.99
6.200	42194	1.11
6.202	47128	1.24
6.203	51310	1.35
6.205	51116	1.34
6.207	51114	1.34
6.208	50708	1.33
6.210	48275	1.27
6.212	45913	1.21
6.213	43929	1.16
6.215	42942	1.13
6.217	42198	1.11
6.218	39446	1.04
6.220	36602	0.96
6.222	35099	0.92
6.223	34171	0.90
6.225	35235	0.93
6.227	35979	0.95
6.228	33696	0.89
6.230	29790	0.78
6.232	26163	0.69
6.233	24661	0.65
6.235	24351	0.64
6.237	24763	0.65
6.238	24116	0.63
6.240	21595	0.57
6.242	20476	0.54
6.243	21701	0.57
6.245	21374	0.56
6.247	19827	0.52
6.248	19428	0.51
6.250	18292	0.48
6.252	16946	0.45
6.253	17473	0.46
6.255	18408	0.48
6.257	17613	0.46
6.258	16147	0.42
6.260	16753	0.44
6.262	17935	0.47
6.263	16176	0.43
6.265	14299	0.38
6.267	15363	0.40
6.268	17219	0.45
6.270	17308	0.46
6.272	17233	0.45
6.273	18689	0.49
6.275	19289	0.51
6.277	19270	0.51
6.278	18091	0.48
6.280	17149	0.45
6.282	17411	0.46
6.283	17561	0.46
6.285	17972	0.47
6.287	17914	0.47
6.288	18680	0.49
6.290	18867	0.50
6.292	18754	0.49
6.293	19098	0.50
6.295	18813	0.49
6.297	17523	0.46
6.298	17214	0.45
6.300	18343	0.48
6.302	17743	0.47
6.303	16240	0.43
6.305	15172	0.40
6.307	15115	0.40
6.308	15471	0.41
6.310	16825	0.44
6.312	17876	0.47
6.313	16778	0.44
6.315	16702	0.44
6.317	20058	0.53
6.318	22580	0.59
6.320	27282	0.72
6.322	36667	0.96
6.323	51473	1.35
6.325	71106	1.87
6.327	95171	2.50
6.328	123685	3.25
6.330	156042	4.10
6.332	190646	5.01
6.333	221335	5.82
6.335	240664	6.33
6.337	248796	6.54
6.338	248132	6.53
6.340	235047	6.18
6.342	214959	5.65
6.343	193178	5.08
6.345	166402	4.38
6.347	139412	3.67
6.348	115857	3.05
6.350	96551	2.54
6.352	81416	2.14
6.353	68680	1.81
6.355	57623	1.52
6.357	49167	1.29
6.358	44589	1.17
6.360	41182	1.08
6.362	38921	1.02
6.363	36501	0.96
6.365	34845	0.92
6.367	34257	0.90
6.368	32494	0.85
6.370	29235	0.77
6.372	28528	0.75
6.373	29458	0.77
6.375	29476	0.78
6.377	28908	0.76
6.378	28481	0.75
6.380	28768	0.76
6.382	29171	0.77
6.383	27750	0.73
6.385	26312	0.69
6.387	27124	0.71
6.388	27497	0.72
6.390	27386	0.72
6.392	28273	0.74
6.393	28465	0.75
6.395	28421	0.75
6.397	28271	0.74
6.398	29694	0.78
6.400	31658	0.83
6.402	34978	0.92
6.403	40687	1.07
6.405	49834	1.31
6.407	60104	1.58
6.408	69813	1.84
6.410	79585	2.09
6.412	88239	2.32
6.413	96885	2.55
6.415	104869	2.76
6.417	105625	2.78
6.418	98979	2.60
6.420	91773	2.41
6.422	84007	2.21
6.423	72979	1.92
6.425	61985	1.63
6.427	53541	1.41
6.428	44771	1.18
6.430	35942	0.95
6.432	30880	0.81
6.433	27119	0.71
6.435	23381	0.61
6.437	23200	0.61
6.438	24040	0.63
6.440	22978	0.60
6.442	22310	0.59
6.443	22310	0.59
6.445	21736	0.57
6.447	21724	0.57
6.448	23105	0.61
6.450	24136	0.63
6.452	25177	0.66
6.453	26325	0.69
6.455	27929	0.73
6.457	29938	0.79
6.458	30853	0.81
6.460	30987	0.81
6.462	31085	0.82
6.463	30421	0.80
6.465	30091	0.79
6.467	29846	0.78
6.468	30286	0.80
6.470	29809	0.78
6.472	29532	0.78
6.473	28827	0.76
6.475	26588	0.70
6.477	25736	0.68
6.478	24539	0.65
6.480	23642	0.62
6.482	23659	0.62
6.483	22872	0.60
6.485	24312	0.64
6.487	25161	0.66
6.488	25115	0.66
6.490	24307	0.64
6.492	22624	0.60
6.493	20865	0.55
6.495	20054	0.53
6.497	20724	0.55
6.498	22755	0.60
6.500	22750	0.60
6.502	22529	0.59
6.503	22930	0.60
6.505	22686	0.60
6.507	22650	0.60
6.508	22898	0.60
6.510	24237	0.64
6.512	25793	0.68
6.513	24701	0.65
6.515	21552	0.57
6.517	19965	0.53
6.518	20838	0.55
6.520	21518	0.57
6.522	21213	0.56
6.523	21848	0.57
6.525	22947	0.60
6.527	23832	0.63
6.528	22961	0.60
6.530	19939	0.52
6.532	18920	0.50
6.533	19424	0.51
6.535	19568	0.51
6.537	21407	0.56
6.538	22298	0.59
6.540	21244	0.56
6.542	20290	0.53
6.543	19447	0.51
6.545	19760	0.52
6.547	20167	0.53
6.548	19757	0.52
6.550	21127	0.56
6.552	22189	0.58
6.553	22062	0.58
6.555	22215	0.58
6.557	21827	0.57
6.558	20682	0.54
6.560	18662	0.49
6.562	17590	0.46
6.563	18551	0.49
6.565	19212	0.51
6.567	19350	0.51
6.568	19232	0.51
6.570	18555	0.49
6.572	17664	0.46
6.573	18196	0.48
6.575	18931	0.50
6.577	19432	0.51
6.578	19408	0.51
6.580	18981	0.50
6.582	18771	0.49
6.583	18031	0.47
6.585	17667	0.46
6.587	18661	0.49
6.588	20226	0.53
6.590	21606	0.57
6.592	21645	0.57
6.593	20495	0.54
6.595	20373	0.54
6.597	21474	0.56
6.598	21396	0.56
6.600	20342	0.54
6.602	19803	0.52
6.603	20490	0.54
6.605	21753	0.57
6.607	23541	0.62
6.608	24067	0.63
6.610	23573	0.62
6.612	23528	0.62
6.613	22886	0.60
6.615	21277	0.56
6.617	20249	0.53
6.618	19975	0.53
6.620	19654	0.52
6.622	19501	0.51
6.623	18527	0.49
6.625	18172	0.48
6.627	19619	0.52
6.628	19874	0.52
6.630	19204	0.51
6.632	19956	0.52
6.633	20246	0.53
6.635	19900	0.52
6.637	19249	0.51
6.638	19091	0.50
6.640	19236	0.51
6.642	18495	0.49
6.643	18951	0.50
6.645	21140	0.56
6.647	20539	0.54
6.648	21219	0.56
6.650	23277	0.61
6.652	24704	0.65
6.653	26140	0.69
6.655	28482	0.75
6.657	28628	0.75
6.658	28201	0.74
6.660	27864	0.73
6.662	26531	0.70
6.663	25553	0.67
6.665	25977	0.68
6.667	24450	0.64
6.668	22835	0.60
6.670	22503	0.59
6.672	23359	0.61
6.673	24318	0.64
6.675	23108	0.61
6.677	21896	0.58
6.678	22162	0.58
6.680	22013	0.58
6.682	22021	0.58
6.683	23469	0.62
6.685	23716	0.62
6.687	22454	0.59
6.688	22021	0.58
6.690	21858	0.57
6.692	21579	0.57
6.693	21298	0.56
6.695	21200	0.56
6.697	21650	0.57
6.698	21316	0.56
6.700	21015	0.55
6.702	21778	0.57
6.703	21728	0.57
6.705	20349	0.54
6.707	20054	0.53
6.708	21130	0.56
6.710	21479	0.56
6.712	21328	0.56
6.713	20463	0.54
6.715	18900	0.50
6.717	19148	0.50
6.718	21400	0.56
6.720	22479	0.59
6.722	21924	0.58
6.723	22169	0.58
6.725	23322	0.61
6.727	23712	0.62
6.728	22585	0.59
6.730	23015	0.61
6.732	23319	0.61
6.733	22119	0.58
6.735	21473	0.56
6.737	22438	0.59
6.738	23832	0.63
6.740	23981	0.63
6.742	23599	0.62
6.743	23711	0.62
6.745	22262	0.59
6.747	20554	0.54
6.748	19541	0.51
6.750	19356	0.51
6.752	19900	0.52
6.753	21258	0.56
6.755	21375	0.56
6.757	20722	0.55
6.758	21369	0.56
6.760	21829	0.57
6.762	21031	0.55
6.763	20311	0.53
6.765	20007	0.53
6.767	20500	0.54
6.768	20492	0.54
6.770	20041	0.53
6.772	19392	0.51
6.773	18518	0.49
6.775	18166	0.48
6.777	18154	0.48
6.778	17961	0.47
6.780	17116	0.45
6.782	16983	0.45
6.783	19193	0.50
6.785	22627	0.60
6.787	25502	0.67
6.788	27499	0.72
6.790	28621	0.75
6.792	29832	0.78
6.793	30843	0.81
6.795	32496	0.85
6.797	34041	0.90
6.798	34443	0.91
6.800	34889	0.92
6.802	36072	0.95
6.803	35906	0.94
6.805	36610	0.96
6.807	39798	1.05
6.808	42041	1.11
6.810	42178	1.11
6.812	40374	1.06
6.813	40334	1.06
6.815	41860	1.10
6.817	40848	1.07
6.818	38036	1.00
6.820	36544	0.96
6.822	34639	0.91
6.823	32686	0.86
6.825	29736	0.78
6.827	27304	0.72
6.828	25604	0.67
6.830	25057	0.66
6.832	25569	0.67
6.833	25124	0.66
6.835	23870	0.63
6.837	24161	0.64
6.838	23919	0.63
6.840	23012	0.61
6.842	23222	0.61
6.843	23820	0.63
6.845	24121	0.63
6.847	24372	0.64
6.848	22568	0.59
6.850	20222	0.53
6.852	20333	0.53
6.853	20630	0.54
6.855	21601	0.57
6.857	22326	0.59
6.858	22818	0.60
6.860	23704	0.62
6.862	22327	0.59
6.863	21708	0.57
6.865	22294	0.59
6.867	23541	0.62
6.868	24260	0.64
6.870	25444	0.67
6.872	24115	0.63
6.873	21832	0.57
6.875	21886	0.58
6.877	22854	0.60
6.878	22656	0.60
6.880	22466	0.59
6.882	22597	0.59
6.883	21542	0.57
6.885	19991	0.53
6.887	18827	0.50
6.888	18391	0.48
6.890	19456	0.51
6.892	20839	0.55
6.893	21808	0.57
6.895	21699	0.57
6.897	20423	0.54
6.898	19471	0.51
6.900	19099	0.50
6.902	18605	0.49
6.903	18870	0.50
6.905	19202	0.51
6.907	18845	0.50
6.908	19751	0.52
6.910	19608	0.52
6.912	19187	0.50
6.913	18832	0.50
6.915	19242	0.51
6.917	18572	0.49
6.918	18761	0.49
6.920	19608	0.52
6.922	19656	0.52
6.923	18903	0.50
6.925	18057	0.47
6.927	17369	0.46
6.928	17386	0.46
6.930	17366	0.46
6.932	17220	0.45
6.933	17244	0.45
6.935	18093	0.48
6.937	19478	0.51
6.938	18044	0.47
6.940	18977	0.50
6.942	20149	0.53
6.943	20387	0.54
6.945	20868	0.55
6.947	20975	0.55
6.948	18838	0.50
6.950	18509	0.49
6.952	18345	0.48
6.953	18016	0.47
6.955	18797	0.49
6.957	19101	0.50
6.958	18222	0.48
6.960	18095	0.48
6.962	17759	0.47
6.963	16031	0.42
6.965	15276	0.40
6.967	16760	0.44
6.968	18687	0.49
6.970	19298	0.51
6.972	19064	0.50
6.973	18239	0.48
6.975	17246	0.45
6.977	17151	0.45
6.978	17168	0.45
6.980	16735	0.44
6.982	16591	0.44
6.983	17644	0.46
6.985	18222	0.48
6.987	17450	0.46
6.988	17834	0.47
6.990	18383	0.48
6.992	17225	0.45
6.993	17947	0.47
6.995	19573	0.51
6.997	20885	0.55
6.998	20849	0.55
7.000	22271	0.59
7.002	23814	0.63
7.003	22868	0.60
7.005	20775	0.55
7.007	21231	0.56
7.008	22792	0.60
7.010	24776	0.65
7.012	25675	0.68
7.013	25560	0.67
7.015	24337	0.64
7.017	25086	0.66
7.018	26061	0.69
7.020	25678	0.68
7.022	26420	0.69
7.023	26854	0.71
7.025	27448	0.72
7.027	28889	0.76
7.028	29427	0.77
7.030	29862	0.79
7.032	29504	0.78
7.033	28083	0.74
7.035	26514	0.70
7.037	25923	0.68
7.038	25705	0.68
7.040	24068	0.63
7.042	22074	0.58
7.043	20928	0.55
7.045	21434	0.56
7.047	22944	0.60
7.048	23020	0.61
7.050	20950	0.55
7.052	19540	0.51
7.053	20262	0.53
7.055	21722	0.57
7.057	20439	0.54
7.058	18787	0.49
7.060	18823	0.50
7.062	19125	0.50
7.063	19712	0.52
7.065	21244	0.56
7.067	22320	0.59
7.068	21880	0.58
7.070	21764	0.57
7.072	21185	0.56
7.073	20041	0.53
7.075	18767	0.49
7.077	19275	0.51
7.078	21216	0.56
7.080	21702	0.57
7.082	21475	0.56
7.083	20833	0.55
7.085	21399	0.56
7.087	21235	0.56
7.088	19427	0.51
7.090	18056	0.47
7.092	17707	0.47
7.093	18105	0.48
7.095	19410	0.51
7.097	19792	0.52
7.098	18861	0.50
7.100	19127	0.50
7.102	16819	0.44
7.103	17750	0.47
7.105	18203	0.48
7.107	19294	0.51
7.108	20687	0.54
7.110	21864	0.58
7.112	23704	0.62
7.113	26644	0.70
7.115	28541	0.75
7.117	29536	0.78
7.118	33613	0.88
7.120	38187	1.00
7.122	40376	1.06
7.123	42039	1.11
7.125	44149	1.16
7.127	43609	1.15
7.128	43711	1.15
7.130	46709	1.23
7.132	48393	1.27
7.133	49741	1.31
7.135	55954	1.47
7.137	64827	1.71
7.138	73491	1.93
7.140	81228	2.14
7.142	88112	2.32
7.143	95371	2.51
7.145	99571	2.62
7.147	99019	2.60
7.148	93736	2.47
7.150	85847	2.26
7.152	80736	2.12
7.153	75413	1.98
7.155	67673	1.78
7.157	60209	1.58
7.158	52860	1.39
7.160	47521	1.25
7.162	44161	1.16
7.163	43091	1.13
7.165	40526	1.07
7.167	37980	1.00
7.168	36729	0.97
7.170	36247	0.95
7.172	36151	0.95
7.173	35822	0.94
7.175	35039	0.92
7.177	33889	0.89
7.178	33121	0.87
7.180	33330	0.88
7.182	32790	0.86
7.183	31700	0.83
7.185	30328	0.80
7.187	29539	0.78
7.188	30476	0.80
7.190	30942	0.81
7.192	30459	0.80
7.193	30667	0.81
7.195	30456	0.80
7.197	29629	0.78
7.198	28094	0.74
7.200	26463	0.70
7.202	27216	0.72
7.203	28784	0.76
7.205	27994	0.74
7.207	27104	0.71
7.208	27140	0.71
7.210	26113	0.69
7.212	25380	0.67
7.213	25692	0.68
7.215	24561	0.65
7.217	23237	0.61
7.218	23402	0.62
7.220	22618	0.59
7.222	21074	0.55
7.223	20040	0.53
7.225	20489	0.54
7.227	22098	0.58
7.228	23291	0.61
7.230	23630	0.62
7.232	23297	0.61
7.233	23100	0.61
7.235	22960	0.60
7.237	23197	0.61
7.238	23908	0.63
7.240	23940	0.63
7.242	22967	0.60
7.243	22944	0.60
7.245	23871	0.63
7.247	23781	0.63
7.248	23009	0.61
7.250	23294	0.61
7.252	24011	0.63
7.253	23909	0.63
7.255	23316	0.61
7.257	23579	0.62
7.258	23724	0.62
7.260	23262	0.61
7.262	21826	0.57
7.263	21426	0.56
7.265	22490	0.59
7.267	21313	0.56
7.268	20374	0.54
7.270	21067	0.55
7.272	21531	0.57
7.273	21759	0.57
7.275	21543	0.57
7.277	21852	0.57
7.278	22461	0.59
7.280	22539	0.59
7.282	22289	0.59
7.283	22041	0.58
7.285	21278	0.56
7.287	20817	0.55
7.288	21133	0.56
7.290	22370	0.59
7.292	23909	0.63
7.293	23917	0.63
7.295	22563	0.59
7.297	22464	0.59
7.298	23817	0.63
7.300	24571	0.65
7.302	24155	0.64
7.303	23532	0.62
7.305	24225	0.64
7.307	25115	0.66
7.308	23779	0.63
7.310	22484	0.59
7.312	21444	0.56
7.313	19544	0.51
7.315	17993	0.47
7.317	17792	0.47
7.318	17570	0.46
7.320	16813	0.44
7.322	16952	0.45
7.323	17783	0.47
7.325	16546	0.44
7.327	15147	0.40
7.328	14746	0.39
7.330	15633	0.41
7.332	16813	0.44
7.333	17093	0.45
7.335	16163	0.43
7.337	16191	0.43
7.338	15826	0.42
7.340	16139	0.42
7.342	16712	0.44
7.343	15631	0.41
7.345	14600	0.38
7.347	15174	0.40
7.348	17050	0.45
7.350	16768	0.44
7.352	14967	0.39
7.353	14913	0.39
7.355	16736	0.44
7.357	15269	0.40
7.358	14446	0.38
7.360	17066	0.45
7.362	18163	0.48
7.363	17901	0.47
7.365	18877	0.50
7.367	19091	0.50
7.368	19789	0.52
7.370	20153	0.53
7.372	18811	0.49
7.373	17511	0.46
7.375	18272	0.48
7.377	19243	0.51
7.378	19417	0.51
7.380	17434	0.46
7.382	16269	0.43
7.383	16171	0.43
7.385	16389	0.43
7.387	15554	0.41
7.388	14806	0.39
7.390	14650	0.39
7.392	14502	0.38
7.393	14701	0.39
7.395	14907	0.39
7.397	14701	0.39
7.398	15605	0.41
7.400	16201	0.43
7.402	16111	0.42
7.403	17774	0.47
7.405	18260	0.48
7.407	17678	0.46
7.408	17693	0.47
7.410	18270	0.48
7.412	20315	0.53
7.413	22351	0.59
7.415	23015	0.61
7.417	23383	0.62
7.418	23573	0.62
7.420	23900	0.63
7.422	23792	0.63
7.423	24481	0.64
7.425	24708	0.65
7.427	26250	0.69
7.428	27252	0.72
7.430	25998	0.68
7.432	23805	0.63
7.433	22821	0.60
7.435	22483	0.59
7.437	21242	0.56
7.438	20209	0.53
7.440	20022	0.53
7.442	20885	0.55
7.443	22241	0.58
7.445	21573	0.57
7.447	20759	0.55
7.448	22141	0.58
7.450	24042	0.63
7.452	27040	0.71
7.453	33990	0.89
7.455	45853	1.21
7.457	68708	1.81
7.458	106295	2.80
7.460	170869	4.49
7.462	267780	7.04
7.463	400696	10.54
7.465	586379	15.42
7.467	828487	21.79
7.468	1101573	28.97
7.470	1367403	35.96
7.472	1594061	41.93
7.473	1775870	46.71
7.475	1902132	50.03
7.477	1921232	50.53
7.478	1826381	48.04
7.480	1665315	43.80
7.482	1450462	38.15
7.483	1196402	31.47
7.485	929687	24.45
7.487	680054	17.89
7.488	474548	12.48
7.490	322478	8.48
7.492	213876	5.63
7.493	144855	3.81
7.495	100973	2.66
7.497	73516	1.93
7.498	55333	1.46
7.500	45960	1.21
7.502	40321	1.06
7.503	35488	0.93
7.505	29607	0.78
7.507	26594	0.70
7.508	27518	0.72
7.510	27194	0.72
7.512	25520	0.67
7.513	23003	0.61
7.515	20983	0.55
7.517	20542	0.54
7.518	21090	0.55
7.520	21616	0.57
7.522	21048	0.55
7.523	20197	0.53
7.525	20676	0.54
7.527	21561	0.57
7.528	21889	0.58
7.530	21074	0.55
7.532	20124	0.53
7.533	19991	0.53
7.535	20512	0.54
7.537	21792	0.57
7.538	22868	0.60
7.540	22519	0.59
7.542	20925	0.55
7.543	21349	0.56
7.545	21763	0.57
7.547	21983	0.58
7.548	20707	0.54
7.550	19973	0.53
7.552	19829	0.52
7.553	20540	0.54
7.555	21594	0.57
7.557	21588	0.57
7.558	19835	0.52
7.560	20029	0.53
7.562	21953	0.58
7.563	22500	0.59
7.565	22996	0.60
7.567	23504	0.62
7.568	23981	0.63
7.570	24023	0.63
7.572	24204	0.64
7.573	24737	0.65
7.575	26190	0.69
7.577	26491	0.70
7.578	26283	0.69
7.580	27712	0.73
7.582	31614	0.83
7.583	34856	0.92
7.585	35125	0.92
7.587	34719	0.91
7.588	34664	0.91
7.590	34747	0.91
7.592	34432	0.91
7.593	33869	0.89
7.595	32910	0.87
7.597	31603	0.83
7.598	30459	0.80
7.600	29456	0.77
7.602	28645	0.75
7.603	27705	0.73
7.605	25618	0.67
7.607	23336	0.61
7.608	23084	0.61
7.610	24043	0.63
7.612	24510	0.64
7.613	25252	0.66
7.615	26374	0.69
7.617	25068	0.66
7.618	21539	0.57
7.620	19752	0.52
7.622	21899	0.58
7.623	21737	0.57
7.625	19652	0.52
7.627	19447	0.51
7.628	20397	0.54
7.630	19536	0.51
7.632	20481	0.54
7.633	20743	0.55
7.635	19558	0.51
7.637	19837	0.52
7.638	19726	0.52
7.640	19894	0.52
7.642	19611	0.52
7.643	19214	0.51
7.645	19544	0.51
7.647	19209	0.51
7.648	18833	0.50
7.650	18080	0.48
7.652	17734	0.47
7.653	18255	0.48
7.655	18836	0.50
7.657	18938	0.50
7.658	18157	0.48
7.660	18056	0.47
7.662	19046	0.50
7.663	19315	0.51
7.665	19016	0.50
7.667	18414	0.48
7.668	18529	0.49
7.670	18538	0.49
7.672	17253	0.45
7.673	17797	0.47
7.675	19001	0.50
7.677	18451	0.49
7.678	19025	0.50
7.680	19264	0.51
7.682	19819	0.52
7.683	20764	0.55
7.685	20467	0.54
7.687	18667	0.49
7.688	17979	0.47
7.690	18034	0.47
7.692	17027	0.45
7.693	16414	0.43
7.695	17728	0.47
7.697	18332	0.48
7.698	17201	0.45
7.700	17037	0.45
7.702	18535	0.49
7.703	17923	0.47
7.705	15544	0.41
7.707	16935	0.45
7.708	18444	0.49
7.710	18797	0.49
7.712	19584	0.52
7.713	20199	0.53
7.715	21047	0.55
7.717	20718	0.54
7.718	18933	0.50
7.720	19487	0.51
7.722	18959	0.50
7.723	18331	0.48
7.725	18424	0.48
7.727	17794	0.47
7.728	17899	0.47
7.730	19178	0.50
7.732	19187	0.50
7.733	18622	0.49
7.735	18788	0.49
7.737	17617	0.46
7.738	17709	0.47
7.740	19095	0.50
7.742	18634	0.49
7.743	16860	0.44
7.745	16831	0.44
7.747	17206	0.45
7.748	17409	0.46
7.750	19806	0.52
7.752	20103	0.53
7.753	19017	0.50
7.755	18763	0.49
7.757	17381	0.46
7.758	16265	0.43
7.760	16107	0.42
7.762	15957	0.42
7.763	15832	0.42
7.765	15874	0.42
7.767	16075	0.42
7.768	15778	0.41
7.770	14763	0.39
7.772	15275	0.40
7.773	16961	0.45
7.775	15878	0.42
7.777	13980	0.37
7.778	15039	0.40
7.780	16817	0.44
7.782	17627	0.46
7.783	17573	0.46
7.785	17162	0.45
7.787	17813	0.47
7.788	18531	0.49
7.790	19298	0.51
7.792	20305	0.53
7.793	20832	0.55
7.795	21905	0.58
7.797	23959	0.63
7.798	24133	0.63
7.800	25071	0.66
7.802	26121	0.69
7.803	25438	0.67
7.805	25180	0.66
7.807	26536	0.70
7.808	24623	0.65
7.810	20506	0.54
7.812	19512	0.51
7.813	19928	0.52
7.815	20872	0.55
7.817	22138	0.58
7.818	22641	0.60
7.820	22200	0.58
7.822	22364	0.59
7.823	22484	0.59
7.825	22964	0.60
7.827	22243	0.59
7.828	20733	0.55
7.830	19178	0.50
7.832	17173	0.45
7.833	18104	0.48
7.835	18703	0.49
7.837	17938	0.47
7.838	17051	0.45
7.840	17086	0.45
7.842	17284	0.45
7.843	18591	0.49
7.845	18811	0.49
7.847	18035	0.47
7.848	17025	0.45
7.850	16685	0.44
7.852	16415	0.43
7.853	16189	0.43
7.855	17200	0.45
7.857	17845	0.47
7.858	17340	0.46
7.860	16645	0.44
7.862	16054	0.42
7.863	16783	0.44
7.865	18156	0.48
7.867	18758	0.49
7.868	18670	0.49
7.870	17772	0.47
7.872	16741	0.44
7.873	17071	0.45
7.875	18101	0.48
7.877	18781	0.49
7.878	19053	0.50
7.880	18259	0.48
7.882	15908	0.42
7.883	14631	0.38
7.885	16074	0.42
7.887	17375	0.46
7.888	16431	0.43
7.890	17079	0.45
7.892	17314	0.46
7.893	17089	0.45
7.895	16200	0.43
7.897	16360	0.43
7.898	16838	0.44
7.900	18165	0.48
7.902	19361	0.51
7.903	18369	0.48
7.905	17699	0.47
7.907	18156	0.48
7.908	19131	0.50
7.910	18947	0.50
7.912	17149	0.45
7.913	15273	0.40
7.915	17058	0.45
7.917	18298	0.48
7.918	17551	0.46
7.920	18440	0.48
7.922	19428	0.51
7.923	20090	0.53
7.925	21374	0.56
7.927	22722	0.60
7.928	20135	0.53
7.930	18197	0.48
7.932	17376	0.46
7.933	17877	0.47
7.935	19408	0.51
7.937	19386	0.51
7.938	18444	0.49
7.940	16959	0.45
7.942	16440	0.43
7.943	17677	0.46
7.945	17371	0.46
7.947	16097	0.42
7.948	15793	0.42
7.950	15260	0.40
7.952	15388	0.40
7.953	16403	0.43
7.955	16444	0.43
7.957	16388	0.43
7.958	17166	0.45
7.960	18682	0.49
7.962	19033	0.50
7.963	18686	0.49
7.965	17757	0.47
7.967	17598	0.46
7.968	16620	0.44
7.970	16372	0.43
7.972	17227	0.45
7.973	17750	0.47
7.975	17345	0.46
7.977	16777	0.44
7.978	17986	0.47
7.980	19644	0.52
7.982	18955	0.50
7.983	17560	0.46
7.985	18522	0.49
7.987	19102	0.50
7.988	20477	0.54
7.990	20653	0.54
7.992	18978	0.50
7.993	17983	0.47
7.995	18747	0.49
7.997	21214	0.56
7.998	21717	0.57
8.000	21610	0.57
8.002	21502	0.57
8.003	22099	0.58
8.005	21789	0.57
8.007	21820	0.57
8.008	21387	0.56
8.010	20785	0.55
8.012	20967	0.55
8.013	21739	0.57
8.015	21902	0.58
8.017	20179	0.53
8.018	19613	0.52
8.020	19566	0.51
8.022	20027	0.53
8.023	20459	0.54
8.025	19924	0.52
8.027	19919	0.52
8.028	20414	0.54
8.030	20082	0.53
8.032	19832	0.52
8.033	20795	0.55
8.035	19810	0.52
8.037	19920	0.52
8.038	20681	0.54
8.040	20063	0.53
8.042	20789	0.55
8.043	20930	0.55
8.045	19710	0.52
8.047	18480	0.49
8.048	18942	0.50
8.050	18822	0.50
8.052	19592	0.52
8.053	20296	0.53
8.055	21123	0.56
8.057	20055	0.53
8.058	18345	0.48
8.060	19515	0.51
8.062	21555	0.57
8.063	23297	0.61
8.065	23696	0.62
8.067	26848	0.71
8.068	30061	0.79
8.070	30835	0.81
8.072	32447	0.85
8.073	34611	0.91
8.075	36062	0.95
8.077	35813	0.94
8.078	34503	0.91
8.080	33680	0.89
8.082	34891	0.92
8.083	33953	0.89
8.085	31212	0.82
8.087	31742	0.83
8.088	31640	0.83
8.090	29856	0.79
8.092	27893	0.73
8.093	27016	0.71
8.095	27595	0.73
8.097	27513	0.72
8.098	27531	0.72
8.100	25777	0.68
8.102	24478	0.64
8.103	24632	0.65
8.105	24539	0.65
8.107	23671	0.62
8.108	23276	0.61
8.110	22876	0.60
8.112	21618	0.57
8.113	22331	0.59
8.115	22587	0.59
8.117	22507	0.59
8.118	23057	0.61
8.120	23673	0.62
8.122	23670	0.62
8.123	22768	0.60
8.125	22172	0.58
8.127	22350	0.59
8.128	21709	0.57
8.130	23279	0.61
8.132	23002	0.60
8.133	22670	0.60
8.135	22225	0.58
8.137	19738	0.52
8.138	19340	0.51
8.140	21289	0.56
8.142	21804	0.57
8.143	20251	0.53
8.145	19876	0.52
8.147	21851	0.57
8.148	23418	0.62
8.150	24275	0.64
8.152	25486	0.67
8.153	27718	0.73
8.155	29486	0.78
8.157	30571	0.80
8.158	33022	0.87
8.160	34862	0.92
8.162	34552	0.91
8.163	34310	0.90
8.165	33487	0.88
8.167	32183	0.85
8.168	31536	0.83
8.170	31110	0.82
8.172	28905	0.76
8.173	26512	0.70
8.175	27000	0.71
8.177	27901	0.73
8.178	26075	0.69
8.180	24119	0.63
8.182	24249	0.64
8.183	25337	0.67
8.185	25508	0.67
8.187	25148	0.66
8.188	24634	0.65
8.190	25095	0.66
8.192	25786	0.68
8.193	25705	0.68
8.195	26460	0.70
8.197	26407	0.69
8.198	25470	0.67
8.200	24719	0.65
8.202	24614	0.65
8.203	26897	0.71
8.205	28308	0.74
8.207	27192	0.72
8.208	26908	0.71
8.210	27451	0.72
8.212	27339	0.72
8.213	27872	0.73
