	LD1	LD2	LD3	label	name	date
30	-0.9061926047194362	3.499403146051279	-1.9417471671132227	Bluete	Bluete	2022_02_16
31	-0.2930546561051416	0.8948758273375386	2.0953570431882467	Raum	Raum	2022_02_21
32	0.5410267560104044	-0.6222377616502598	2.44316668575472	Pflanze	Pflanze	2022_01_24
33	1.0105360068681741	1.672629216509275	0.13662641220990243	Knolle	Knolle	2022_02_21
34	0.24552563473935873	-0.9758855987018029	0.018977683112886803	Pflanze	Pflanze	2022_05_04
35	-1.0250198941361683	0.19466097966675003	-1.1836286065210526	Pflanze	Pflanze	2022_02_16
36	-0.7202705888727163	-0.706643042081674	-0.40629611318992903	Pflanze	Pflanze	2022_02_02
37	-0.9801493090955045	-1.6788282967222852	0.4011377396445648	Pflanze	Pflanze	2022_05_17
38	0.6845396346549386	0.6732145475463376	3.399953245056361	Raum	Raum	2022_05_17
39	5.737773734719321	-6.81254615389037	-0.6715234577429211	Erde	Erde	2022_01_24
40	-2.1034725947363886	-2.15437972854704	0.579064708258574	Pflanze	Pflanze	2022_02_02
41	0.6552646681392356	0.04897057338820507	4.331787889722427	Raum	Raum	2022_02_08
42	-0.0998644936576944	-1.5526606935649747	0.22080383953066796	Pflanze	Pflanze	2022_02_18
43	0.42891878346138784	-0.9320166969916815	-0.10443051001802842	Pflanze	Pflanze	2022_05_17
44	1.054856032380409	-1.8376397538457747	-0.23716742315044623	Pflanze	Pflanze	2022_02_07
45	-2.2338174646718185	4.658531698895335	-2.518965437643741	Bluete	Bluete	2022_02_16
46	-1.3549857375362686	-2.0273014151786772	-0.5983947340560635	Pflanze	Pflanze	2022_05_24
47	0.8641160509895647	-0.94924959403836	0.15417719200197885	Pflanze	Pflanze	2022_01_10
48	0.33400392441540117	0.5055307367101767	0.8805860357212351	Pflanze	Pflanze	2022_02_02
49	0.7478142965268678	0.4989533735709567	0.5110764389564254	Pflanze	Pflanze	2022_02_23
50	-3.310236316388432	-3.562772464901577	-1.0473801826381681	Pflanze	Pflanze	2022_03_01
51	0.9051266650896054	-0.683638681254721	-0.6280924634393905	Pflanze	Pflanze	2022_02_17
52	-1.037287808961839	4.549578490829744	-3.9048995807586944	Bluete	Bluete	2022_02_14
53	0.5308468235598831	1.418581790163407	0.031125308759272195	Pflanze	Pflanze	2022_02_22
54	0.2542647333740087	0.5627009204027337	2.635509704393999	Raum	Raum	2022_05_25
55	0.5589389056237589	-0.978361700625944	-0.09587776606959607	Pflanze	Pflanze	2022_05_09
56	0.10433504678635065	-1.198024691108452	0.3035291160393329	Pflanze	Pflanze	2022_05_04
57	0.6543718700712394	4.098825175720999	0.7307699303941226	Knolle	Knolle	2022_02_14
58	-0.8282406838957812	2.7393242991204945	-2.511181646800688	Knolle	Knolle	2022_02_18
